226 SCROLL_BOTTOM_UP 0 Rect(48, 572 - 1032, 692) 69815706988945
227 SCROLL_TOP_DOWN 500 Rect(48, 884 - 1032, 1004) 69817231929309
228 SCROLL_BOTTOM_UP 500 Rect(48, 572 - 1032, 692) 69818524244569
229 SCROLL_TOP_DOWN 500 Rect(0, 240 - 1080, 1629) 69820255671912
230 SCROLL_BOTTOM_UP 500 Rect(48, 572 - 1032, 692) 69821528161703
231 SCROLL_RIGHT_LEFT 500 Rect(48, 1435 - 317, 1555) 69822900817276
232 SCROLL_BOTTOM_UP 500 Rect(376, 1267 - 704, 1411) 69824226790191
233 CLICK 500 Rect(376, 401 - 704, 545) 69825521604514
234 CLICK 500 Rect(376, 401 - 560, 521) 69826441394306
235 CLICK 0 Rect(376, 401 - 704, 545) 69827533522274
236 CLICK 500 Rect(387, 620 - 560, 740) 69827982111388
237 CLICK 0 Rect(376, 401 - 704, 545) 69829035411700
238 CLICK 500 Rect(386, 501 - 560, 621) 69829470544669
239 CLICK 3461 Rect(376, 401 - 704, 545) 69830567998107
240 CLICK 0 Rect(376, 401 - 560, 521) 69834558882896
241 CLICK 0 Rect(376, 401 - 704, 545) 69835124171437
242 CLICK 500 Rect(384, 401 - 560, 747) 69835560018313
243 SCROLL_BOTTOM_UP 500 Rect(376, 401 - 704, 545) 69836641496124
244 CLICK 500 Rect(48, 1017 - 1032, 1137) 69837864659041
245 CLICK 500 Rect(48, 1305 - 888, 1449) 69838787769978
246 CLICK 0 Rect(48, 1017 - 1032, 1137) 69839917494873
247 CLICK 500 Rect(59, 1017 - 888, 1118) 69840379545186
248 CLICK 0 Rect(48, 1017 - 1032, 1137) 69841453822269
249 CLICK 500 Rect(58, 1407 - 888, 1551) 69841887155289
250 CLICK 0 Rect(48, 1017 - 1032, 1137) 69842930070914
251 CLICK 500 Rect(58, 1119 - 888, 1263) 69843388928570
252 CLICK 0 Rect(48, 1017 - 1032, 1137) 69844525989507
253 CLICK 500 Rect(62, 1017 - 888, 1529) 69844991029767
254 SCROLL_TOP_DOWN 500 Rect(0, 240 - 1080, 1629) 69846111116902
255 SCROLL_BOTTOM_UP 500 Rect(48, 572 - 1032, 692) 69847351243204
256 SCROLL_BOTTOM_UP 500 Rect(376, 1306 - 704, 1450) 69848753599870
257 CLICK 500 Rect(48, 1161 - 1032, 1297) 69850084733462
258 CLICK 500 Rect(816, 84 - 960, 228) 69851182632941
259 SCROLL_RIGHT_LEFT 500 Rect(48, 602 - 1032, 722) 69852439593774
260 CLICK 0 Rect(48, 1161 - 1032, 1297) 69853691975701
261 SCROLL_BOTTOM_UP 500 Rect(0, 240 - 1080, 882) 69854424816118
262 CLICK 500 Rect(48, 544 - 1032, 680) 69855869819294
263 CLICK 0 Rect(48, 1161 - 1032, 1297) 69857232823460
264 SCROLL_BOTTOM_UP 0 Rect(0, 240 - 1080, 882) 69857953577053
265 CLICK 500 Rect(48, 704 - 1032, 840) 69858621092783
266 CLICK 0 Rect(48, 1161 - 1032, 1297) 69859704823772
267 SCROLL_BOTTOM_UP 0 Rect(0, 240 - 1080, 882) 69860234033616
268 CLICK 500 Rect(48, 864 - 1032, 882) 69860998779605
269 SCROLL_LEFT_RIGHT 500 Rect(376, 240 - 704, 321) 69862252717625
270 CLICK 0 Rect(48, 1161 - 1032, 1297) 69863541132521
271 SCROLL_BOTTOM_UP 0 Rect(0, 240 - 1080, 882) 69864296178822
272 CLICK 0 Rect(48, 762 - 1032, 882) 69865202895385
273 CLICK 0 Rect(48, 1161 - 1032, 1297) 69865953435957
274 SCROLL_BOTTOM_UP 0 Rect(0, 240 - 1080, 882) 69866724143665
275 CLICK 0 Rect(48, 414 - 1032, 550) 69867468196009
276 BACK 69868080066321
277 CLICK 500 Rect(48, 1321 - 1032, 1457) 69868601343039
278 SCROLL_RIGHT_LEFT 500 Rect(48, 442 - 1032, 562) 69869973962986
279 BACK 69871180451111
280 SCROLL_BOTTOM_UP 500 Rect(48, 442 - 1032, 562) 69871591985434
281 CLICK 500 Rect(0, 885 - 1080, 1029) 69872833906996
282 SCROLL_RIGHT_LEFT 500 Rect(48, 1280 - 1032, 1400) 69873989971735
283 CLICK 0 Rect(48, 824 - 888, 1400) 69875130051058
284 CLICK 500 Rect(48, 240 - 1032, 376) 69875784566578
285 SCROLL_RIGHT_LEFT 0 Rect(48, 560 - 1032, 680) 69877361893870
286 CLICK 500 Rect(0, 885 - 1080, 1029) 69880179916994
287 CLICK 500 Rect(48, 252 - 650, 340) 69881517523868
288 CLICK 500 Rect(0, 1224 - 720, 1368) 69882477140586
289 SCROLL_TOP_DOWN 500 Rect(0, 72 - 82, 1776) 69883732881680
290 CLICK 500 Rect(0, 960 - 1080, 1101) 69885224595481
291 CLICK 500 Rect(0, 72 - 168, 240) 69886228020898
292 SCROLL_TOP_DOWN 500 Rect(0, 72 - 720, 1776) 69887305175272
293 CLICK 500 Rect(0, 216 - 720, 360) 69888487304386
294 BACK 69892935018603
295 CLICK 500 Rect(48, 1447 - 341, 1591) 69893575250529
296 CLICK 500 Rect(720, 1632 - 1080, 1776) 69894857398446
297 BACK 69895791315425
298 CLICK 500 Rect(344, 1300 - 638, 1444) 69896644033237
299 CLICK 500 Rect(344, 1447 - 638, 1591) 69897986807924
300 CLICK 500 Rect(48, 1300 - 341, 1444) 69899348471935
301 CLICK 500 Rect(641, 1152 - 1029, 1249) 69900719205007
302 CLICK 500 Rect(641, 952 - 1029, 1613) 69902085180162
303 CLICK 500 Rect(242, 1089 - 444, 1329) 69903391894380
304 CLICK 500 Rect(912, 559 - 984, 671) 69904492342557
305 CLICK 500 Rect(84, 547 - 900, 683) 69905840002869
306 CLICK 0 Rect(84, 547 - 900, 683) 69907112744327
307 CLICK 500 Rect(744, 707 - 960, 851) 69908085896722
308 CLICK 500 Rect(0, 1632 - 360, 1776) 69909662621670
309 CLICK 500 Rect(960, 84 - 1080, 228) 69911013998075
310 BACK 69911959007138
311 CLICK 500 Rect(48, 1447 - 341, 1591) 69915228233439
312 CLICK 500 Rect(360, 1632 - 720, 1776) 69916590592813
313 CLICK 500 Rect(48, 606 - 341, 750) 69917829122969
314 CLICK 500 Rect(641, 952 - 1029, 1049) 69919101313906
315 CLICK 500 Rect(48, 606 - 341, 750) 69920365887082
316 CLICK 500 Rect(641, 258 - 1029, 355) 69921664870936
317 CLICK 2866 Rect(48, 606 - 341, 750) 69922958189582
318 CLICK 500 Rect(720, 1632 - 1080, 1776) 69926609472601
319 BACK 69927546377808
320 CLICK 500 Rect(48, 753 - 341, 897) 69928583949319
321 CLICK 500 Rect(672, 84 - 816, 228) 69929923135672
322 CLICK 500 Rect(48, 1225 - 341, 1369) 69932785789838
323 CLICK 500 Rect(344, 1300 - 638, 1444) 69934217938535
324 CLICK 500 Rect(641, 952 - 1029, 1613) 69935640370827
325 CLICK 500 Rect(720, 1632 - 1080, 1776) 69936868775982
326 BACK 69937784598898
327 CLICK 500 Rect(344, 1300 - 638, 1444) 69938760058899
328 CLICK 500 Rect(48, 1447 - 341, 1591) 69940059142075
329 CLICK 500 Rect(344, 1447 - 638, 1591) 69941369314210
330 CLICK 500 Rect(960, 84 - 1080, 228) 69942670137959
331 CLICK 500 Rect(480, 228 - 1068, 372) 69943650855980
332 CLICK 500 Rect(156, 1057 - 252, 1201) 69945350750198
333 CLICK 500 Rect(960, 84 - 1080, 228) 69946400379573
334 CLICK 500 Rect(480, 372 - 1068, 516) 69947419437905
335 CLICK 500 Rect(48, 1085 - 341, 1229) 69949877147748
336 CLICK 500 Rect(0, 240 - 540, 384) 69950979918321
337 CLICK 500 Rect(344, 1232 - 638, 1376) 69952010493425
338 CLICK 500 Rect(267, 874 - 418, 1114) 69953123264465
339 CLICK 0 Rect(744, 707 - 960, 851) 69954227403267
340 CLICK 500 Rect(344, 1085 - 638, 1229) 69954911470924
341 CLICK 500 Rect(109, 1461 - 577, 1605) 69956042027590
342 CLICK 500 Rect(0, 1632 - 270, 1776) 69957134010558
343 CLICK 500 Rect(540, 1632 - 810, 1776) 69958110457120
344 CLICK 500 Rect(810, 1632 - 1080, 1776) 69959175786546
345 BACK 69960087336598
346 CLICK 500 Rect(816, 84 - 960, 228) 69960864631650
347 CLICK 500 Rect(672, 84 - 816, 228) 69961909117692
348 CLICK 500 Rect(960, 84 - 1080, 228) 69964057469878
349 CLICK 500 Rect(480, 516 - 1068, 660) 69965013458524
350 SCROLL_RIGHT_LEFT 500 Rect(433, 252 - 1032, 324) 69968158604095
351 SCROLL_TOP_DOWN 500 Rect(433, 252 - 1032, 324) 69969240046230
352 CLICK 500 Rect(381, 512 - 1032, 648) 69970342336646
353 SCROLL_BOTTOM_UP 500 Rect(433, 252 - 1032, 324) 69971420868051
354 CLICK 500 Rect(433, 252 - 1032, 324) 69972638509978
355 CLICK 500 Rect(433, 252 - 888, 396) 69973603042791
356 CLICK 0 Rect(433, 252 - 1032, 324) 69974656400447
357 CLICK 500 Rect(436, 387 - 888, 531) 69975158492895
358 CLICK 0 Rect(433, 252 - 1032, 324) 69976219016280
359 CLICK 500 Rect(434, 539 - 888, 683) 69976761081957
360 CLICK 0 Rect(433, 252 - 1032, 324) 69977770991696
361 CLICK 0 Rect(434, 538 - 888, 682) 69978294934821
362 CLICK 0 Rect(433, 252 - 1032, 324) 69979063063466
363 CLICK 0 Rect(435, 391 - 888, 535) 69979557965914
364 CLICK 0 Rect(433, 252 - 1032, 324) 69980226165393
365 CLICK 0 Rect(435, 252 - 888, 391) 69980672921695
366 CLICK 0 Rect(433, 252 - 1032, 324) 69981444091850
367 CLICK 0 Rect(434, 394 - 888, 538) 69981954489142
368 CLICK 0 Rect(433, 252 - 1032, 324) 69983097246694
369 CLICK 0 Rect(433, 540 - 888, 684) 69983742904663
370 CLICK 0 Rect(433, 252 - 1032, 324) 69984434534766
371 CLICK 0 Rect(435, 252 - 888, 391) 69984933269193
372 CLICK 0 Rect(433, 252 - 1032, 324) 69986023656016
373 CLICK 500 Rect(436, 252 - 888, 675) 69986528777526
374 CLICK 500 Rect(816, 84 - 960, 228) 69987564138723
375 CLICK 500 Rect(84, 481 - 900, 617) 69988745102369
376 CLICK 500 Rect(744, 641 - 960, 785) 69989926279191
377 SCROLL_TOP_DOWN 500 Rect(433, 252 - 1032, 324) 69990980310441
378 CLICK 500 Rect(0, 72 - 168, 240) 69992506461481
379 CLICK 500 Rect(0, 1656 - 720, 1776) 69993624876586
380 CLICK 500 Rect(0, 72 - 168, 240) 69998543669917
381 CLICK 500 Rect(0, 1512 - 720, 1656) 69999560042833
382 CLICK 500 Rect(120, 1512 - 418, 1656) 70005546781216
383 SCROLL_RIGHT_LEFT 500 Rect(511, 852 - 1068, 996) 70006563589185
384 SCROLL_LEFT_RIGHT 500 Rect(513, 340 - 1068, 484) 70007761914184
385 CLICK 500 Rect(513, 340 - 924, 1632) 70008883481371
386 SCROLL_LEFT_RIGHT 0 Rect(513, 340 - 1068, 484) 70009931849548
387 CLICK 500 Rect(523, 810 - 924, 954) 70010590741683
388 SCROLL_LEFT_RIGHT 0 Rect(513, 340 - 1068, 484) 70011629245225
389 SCROLL_TOP_DOWN 500 Rect(527, 340 - 924, 1476) 70012265530381
390 SCROLL_BOTTOM_UP 500 Rect(513, 340 - 924, 1632) 70013401055380
391 BACK 70014554062046
392 SCROLL_TOP_DOWN 500 Rect(511, 852 - 1068, 996) 70015034072046
393 SCROLL_RIGHT_LEFT 500 Rect(513, 340 - 1068, 484) 70016313794546
394 CLICK 500 Rect(389, 508 - 1068, 652) 70017491251108
395 CLICK 500 Rect(48, 1618 - 163, 1691) 70018656309492
396 CLICK 500 Rect(48, 413 - 1032, 486) 70019659555586
397 CLICK 500 Rect(0, 72 - 168, 240) 70020739703919
398 CLICK 500 Rect(0, 1368 - 720, 1512) 70021758128711
399 CLICK 500 Rect(0, 72 - 300, 1776) 70023478369231
400 SCROLL_BOTTOM_UP 500 Rect(0, 384 - 1080, 1776) 70025316636573
